event_id,timestamp,status,severity,confidence,processing_ms,bbox_count,hotspot_area_percent,thermal_contrast_index,latitude,longitude,altitude_m,gps_valid,reference_image,current_image,result_image,diff_image,mask_image,method
63e101ade7,2026-07-02T19:28:32,FIRE DETECTED,CRITICAL,89.49,412.87,3,8.0109,144.388,19.977466,73.779865,18.5,True,Generated image 7.png,fire_detected_scene_thermal.jpeg,annotated_63e101ade7.jpg,difference_63e101ade7.jpg,hotspot_mask_63e101ade7.png,"Reference-frame thermal hotspot comparison using OpenCV difference, heat-gating, morphology, contour filtering and confidence scoring"
demo08fd26,2026-08-18T20:35:00,FIRE DETECTED,CRITICAL,100.0,180.0,1,5.0199,134.904,19.977058,73.780227,15.4,True,base_image 08.png,current_scene 08.png,annotated_demo_08.jpg,difference_demo_08.jpg,hotspot_mask_demo_08.png,"Reference-frame thermal hotspot comparison using OpenCV difference, heat-gating, morphology, contour filtering and confidence scoring"
demo09fd26,2026-08-18T20:44:17,FIRE DETECTED,CRITICAL,84.65,217.4,1,3.0811,102.219,19.977093,73.780207,16.6,True,base_image 09.png,current_scene 09.png,annotated_demo_09.jpg,difference_demo_09.jpg,hotspot_mask_demo_09.png,"Reference-frame thermal hotspot comparison using OpenCV difference, heat-gating, morphology, contour filtering and confidence scoring"
demo10fd26,2026-08-18T20:53:34,NO FIRE,NORMAL,0.0,254.8,0,0.0,0.0,19.9772,73.780099,17.2,True,base_image 10.png,current_scene 10.png,annotated_demo_10.jpg,difference_demo_10.jpg,hotspot_mask_demo_10.png,"Reference-frame thermal hotspot comparison using OpenCV difference, heat-gating, morphology, contour filtering and confidence scoring"
demo11fd26,2026-08-18T21:02:51,FIRE DETECTED,CRITICAL,85.36,292.2,1,3.1699,131.628,19.977235,73.780079,18.4,True,base_image 11.png,current_scene 11.png,annotated_demo_11.jpg,difference_demo_11.jpg,hotspot_mask_demo_11.png,"Reference-frame thermal hotspot comparison using OpenCV difference, heat-gating, morphology, contour filtering and confidence scoring"
demo12fd26,2026-08-18T21:12:08,NO FIRE,NORMAL,0.0,329.6,0,0.0,0.0,19.977342,73.779971,19.0,True,base_image 12.png,current_scene 12.png,annotated_demo_12.jpg,difference_demo_12.jpg,hotspot_mask_demo_12.png,"Reference-frame thermal hotspot comparison using OpenCV difference, heat-gating, morphology, contour filtering and confidence scoring"
demo13fd26,2026-08-18T21:21:25,FIRE DETECTED,CRITICAL,95.42,367.0,1,4.4277,136.256,19.977377,73.779951,20.2,True,base_image 13.png,current_scene 13.png,annotated_demo_13.jpg,difference_demo_13.jpg,hotspot_mask_demo_13.png,"Reference-frame thermal hotspot comparison using OpenCV difference, heat-gating, morphology, contour filtering and confidence scoring"
demo14fd26,2026-08-18T21:30:42,FIRE DETECTED,CRITICAL,94.77,180.0,1,4.3464,129.871,19.977484,73.779843,15.4,True,base_image 14.png,current_scene 14.png,annotated_demo_14.jpg,difference_demo_14.jpg,hotspot_mask_demo_14.png,"Reference-frame thermal hotspot comparison using OpenCV difference, heat-gating, morphology, contour filtering and confidence scoring"
demo15fd26,2026-08-18T21:39:59,NO FIRE,NORMAL,0.0,217.4,0,0.0,0.0,19.977519,73.779823,16.6,True,base_image 15.png,current_scene 15.png,annotated_demo_15.jpg,difference_demo_15.jpg,hotspot_mask_demo_15.png,"Reference-frame thermal hotspot comparison using OpenCV difference, heat-gating, morphology, contour filtering and confidence scoring"
demo16fd26,2026-08-18T21:49:16,FIRE DETECTED,HIGH,63.96,254.8,1,2.4974,33.427,19.977626,73.779715,17.2,True,base_image 16.png,current_scene 16.png,annotated_demo_16.jpg,difference_demo_16.jpg,hotspot_mask_demo_16.png,"Reference-frame thermal hotspot comparison using OpenCV difference, heat-gating, morphology, contour filtering and confidence scoring"
demo17fd26,2026-08-18T21:58:33,NO FIRE,NORMAL,0.0,292.2,0,0.0,0.0,19.977661,73.779695,18.4,True,base_image 17.png,current_scene 17.png,annotated_demo_17.jpg,difference_demo_17.jpg,hotspot_mask_demo_17.png,"Reference-frame thermal hotspot comparison using OpenCV difference, heat-gating, morphology, contour filtering and confidence scoring"
demo18fd26,2026-08-18T22:07:50,FIRE DETECTED,HIGH,56.11,329.6,1,2.7363,15.44,19.977768,73.779587,19.0,True,base_image 18.png,current_scene 18.png,annotated_demo_18.jpg,difference_demo_18.jpg,hotspot_mask_demo_18.png,"Reference-frame thermal hotspot comparison using OpenCV difference, heat-gating, morphology, contour filtering and confidence scoring"
demo19fd26,2026-08-18T22:17:07,FIRE DETECTED,HIGH,71.37,367.0,1,2.0068,64.758,19.977803,73.779567,20.2,True,base_image 19.png,current_scene 19.png,annotated_demo_19.jpg,difference_demo_19.jpg,hotspot_mask_demo_19.png,"Reference-frame thermal hotspot comparison using OpenCV difference, heat-gating, morphology, contour filtering and confidence scoring"
demo20fd26,2026-08-18T22:26:24,NO FIRE,NORMAL,0.0,180.0,0,0.0,0.0,19.97791,73.779459,15.4,True,base_image 20.png,current_scene 20.png,annotated_demo_20.jpg,difference_demo_20.jpg,hotspot_mask_demo_20.png,"Reference-frame thermal hotspot comparison using OpenCV difference, heat-gating, morphology, contour filtering and confidence scoring"
